"Statistic","CensusYear","Sex","Age Last Birthday","At Each Year of Age","UNIT","VALUE"
"Population 2011 to 2016","2011","Male","47 years","Population at or over this age","Number","701007"
"Population 2011 to 2016","2011","Male","48 years","Population","Number","29703"
"Population 2011 to 2016","2011","Male","48 years","Population at or under this age","Number","1631778"
"Population 2011 to 2016","2011","Male","48 years","Population at or over this age","Number","670624"
"Population 2011 to 2016","2011","Male","49 years","Population","Number","28880"
"Population 2011 to 2016","2011","Male","49 years","Population at or under this age","Number","1660658"
"Population 2011 to 2016","2011","Male","49 years","Population at or over this age","Number","640921"
"Population 2011 to 2016","2011","Male","50 years","Population","Number","29167"
"Population 2011 to 2016","2011","Male","50 years","Population at or under this age","Number","1689825"
"Population 2011 to 2016","2011","Male","50 years","Population at or over this age","Number","612041"
"Population 2011 to 2016","2011","Male","51 years","Population","Number","27888"
"Population 2011 to 2016","2011","Male","51 years","Population at or under this age","Number","1717713"
"Population 2011 to 2016","2011","Male","51 years","Population at or over this age","Number","582874"
"Population 2011 to 2016","2011","Male","52 years","Population","Number","27014"
"Population 2011 to 2016","2011","Male","52 years","Population at or under this age","Number","1744727"
"Population 2011 to 2016","2011","Male","52 years","Population at or over this age","Number","554986"
"Population 2011 to 2016","2011","Male","53 years","Population","Number","26489"
"Population 2011 to 2016","2011","Male","53 years","Population at or under this age","Number","1771216"
"Population 2011 to 2016","2011","Male","53 years","Population at or over this age","Number","527972"
"Population 2011 to 2016","2011","Male","54 years","Population","Number","26179"
"Population 2011 to 2016","2011","Male","54 years","Population at or under this age","Number","1797395"
"Population 2011 to 2016","2011","Male","54 years","Population at or over this age","Number","501483"
"Population 2011 to 2016","2011","Male","55 years","Population","Number","25296"
"Population 2011 to 2016","2011","Male","55 years","Population at or under this age","Number","1822691"
"Population 2011 to 2016","2011","Male","55 years","Population at or over this age","Number","475304"
"Population 2011 to 2016","2011","Male","56 years","Population","Number","25094"
"Population 2011 to 2016","2011","Male","56 years","Population at or under this age","Number","1847785"
"Population 2011 to 2016","2011","Male","56 years","Population at or over this age","Number","450008"
"Population 2011 to 2016","2011","Male","57 years","Population","Number","24252"
"Population 2011 to 2016","2011","Male","57 years","Population at or under this age","Number","1872037"
"Population 2011 to 2016","2011","Male","57 years","Population at or over this age","Number","424914"
"Population 2011 to 2016","2011","Male","58 years","Population","Number","24287"
"Population 2011 to 2016","2011","Male","58 years","Population at or under this age","Number","1896324"
"Population 2011 to 2016","2011","Male","58 years","Population at or over this age","Number","400662"
"Population 2011 to 2016","2011","Male","59 years","Population","Number","23192"
"Population 2011 to 2016","2011","Male","59 years","Population at or under this age","Number","1919516"
"Population 2011 to 2016","2011","Male","59 years","Population at or over this age","Number","376375"
"Population 2011 to 2016","2011","Male","60 years","Population","Number","22906"
"Population 2011 to 2016","2011","Male","60 years","Population at or under this age","Number","1942422"
"Population 2011 to 2016","2011","Male","60 years","Population at or over this age","Number","353183"
"Population 2011 to 2016","2011","Male","61 years","Population","Number","22199"
"Population 2011 to 2016","2011","Male","61 years","Population at or under this age","Number","1964621"
"Population 2011 to 2016","2011","Male","61 years","Population at or over this age","Number","330277"
"Population 2011 to 2016","2011","Male","62 years","Population","Number","22127"
"Population 2011 to 2016","2011","Male","62 years","Population at or under this age","Number","1986748"
"Population 2011 to 2016","2011","Male","62 years","Population at or over this age","Number","308078"
"Population 2011 to 2016","2011","Male","63 years","Population","Number","21679"
"Population 2011 to 2016","2011","Male","63 years","Population at or under this age","Number","2008427"
"Population 2011 to 2016","2011","Male","63 years","Population at or over this age","Number","285951"
"Population 2011 to 2016","2011","Male","64 years","Population","Number","20958"
"Population 2011 to 2016","2011","Male","64 years","Population at or under this age","Number","2029385"
"Population 2011 to 2016","2011","Male","64 years","Population at or over this age","Number","264272"
"Population 2011 to 2016","2011","Male","65 years","Population","Number","19967"
"Population 2011 to 2016","2011","Male","65 years","Population at or under this age","Number","2049352"
"Population 2011 to 2016","2011","Male","65 years","Population at or over this age","Number","243314"
"Population 2011 to 2016","2011","Male","66 years","Population","Number","18209"
"Population 2011 to 2016","2011","Male","66 years","Population at or under this age","Number","2067561"
"Population 2011 to 2016","2011","Male","66 years","Population at or over this age","Number","223347"
"Population 2011 to 2016","2011","Male","67 years","Population","Number","17325"
"Population 2011 to 2016","2011","Male","67 years","Population at or under this age","Number","2084886"
"Population 2011 to 2016","2011","Male","67 years","Population at or over this age","Number","205138"
"Population 2011 to 2016","2011","Male","68 years","Population","Number","16125"
"Population 2011 to 2016","2011","Male","68 years","Population at or under this age","Number","2101011"
"Population 2011 to 2016","2011","Male","68 years","Population at or over this age","Number","187813"
"Population 2011 to 2016","2011","Male","69 years","Population","Number","14672"
"Population 2011 to 2016","2011","Male","69 years","Population at or under this age","Number","2115683"
"Population 2011 to 2016","2011","Male","69 years","Population at or over this age","Number","171688"
"Population 2011 to 2016","2011","Male","70 years","Population","Number","13842"
"Population 2011 to 2016","2011","Male","70 years","Population at or under this age","Number","2129525"
"Population 2011 to 2016","2011","Male","70 years","Population at or over this age","Number","157016"
"Population 2011 to 2016","2011","Male","71 years","Population","Number","13561"
"Population 2011 to 2016","2011","Male","71 years","Population at or under this age","Number","2143086"
"Population 2011 to 2016","2011","Male","71 years","Population at or over this age","Number","143174"
"Population 2011 to 2016","2011","Male","72 years","Population","Number","12822"
"Population 2011 to 2016","2011","Male","72 years","Population at or under this age","Number","2155908"
"Population 2011 to 2016","2011","Male","72 years","Population at or over this age","Number","129613"
"Population 2011 to 2016","2011","Male","73 years","Population","Number","11761"
"Population 2011 to 2016","2011","Male","73 years","Population at or under this age","Number","2167669"
"Population 2011 to 2016","2011","Male","73 years","Population at or over this age","Number","116791"
"Population 2011 to 2016","2011","Male","74 years","Population","Number","11490"
"Population 2011 to 2016","2011","Male","74 years","Population at or under this age","Number","2179159"
"Population 2011 to 2016","2011","Male","74 years","Population at or over this age","Number","105030"
"Population 2011 to 2016","2011","Male","75 years","Population","Number","10771"
"Population 2011 to 2016","2011","Male","75 years","Population at or under this age","Number","2189930"
"Population 2011 to 2016","2011","Male","75 years","Population at or over this age","Number","93540"
"Population 2011 to 2016","2011","Male","76 years","Population","Number","10017"
"Population 2011 to 2016","2011","Male","76 years","Population at or under this age","Number","2199947"
"Population 2011 to 2016","2011","Male","76 years","Population at or over this age","Number","82769"
"Population 2011 to 2016","2011","Male","77 years","Population","Number","9444"
"Population 2011 to 2016","2011","Male","77 years","Population at or under this age","Number","2209391"
"Population 2011 to 2016","2011","Male","77 years","Population at or over this age","Number","72752"
"Population 2011 to 2016","2011","Male","78 years","Population","Number","8532"
"Population 2011 to 2016","2011","Male","78 years","Population at or under this age","Number","2217923"
"Population 2011 to 2016","2011","Male","78 years","Population at or over this age","Number","63308"
"Population 2011 to 2016","2011","Male","79 years","Population","Number","7867"
"Population 2011 to 2016","2011","Male","79 years","Population at or under this age","Number","2225790"
"Population 2011 to 2016","2011","Male","79 years","Population at or over this age","Number","54776"
"Population 2011 to 2016","2011","Male","80 years","Population","Number","7370"
"Population 2011 to 2016","2011","Male","80 years","Population at or under this age","Number","2233160"
"Population 2011 to 2016","2011","Male","80 years","Population at or over this age","Number","46909"
"Population 2011 to 2016","2011","Male","81 years","Population","Number","6374"
"Population 2011 to 2016","2011","Male","81 years","Population at or under this age","Number","2239534"
"Population 2011 to 2016","2011","Male","81 years","Population at or over this age","Number","39539"
"Population 2011 to 2016","2011","Male","82 years","Population","Number","5589"
"Population 2011 to 2016","2011","Male","82 years","Population at or under this age","Number","2245123"
"Population 2011 to 2016","2011","Male","82 years","Population at or over this age","Number","33165"
"Population 2011 to 2016","2011","Male","83 years","Population","Number","4765"
"Population 2011 to 2016","2011","Male","83 years","Population at or under this age","Number","2249888"
"Population 2011 to 2016","2011","Male","83 years","Population at or over this age","Number","27576"
"Population 2011 to 2016","2011","Male","84 years","Population","Number","4325"
"Population 2011 to 2016","2011","Male","84 years","Population at or under this age","Number","2254213"
"Population 2011 to 2016","2011","Male","84 years","Population at or over this age","Number","22811"
"Population 2011 to 2016","2011","Male","85 years","Population","Number","3759"
"Population 2011 to 2016","2011","Male","85 years","Population at or under this age","Number","2257972"
"Population 2011 to 2016","2011","Male","85 years","Population at or over this age","Number","18486"
"Population 2011 to 2016","2011","Male","86 years","Population","Number","3264"
"Population 2011 to 2016","2011","Male","86 years","Population at or under this age","Number","2261236"
"Population 2011 to 2016","2011","Male","86 years","Population at or over this age","Number","14727"
"Population 2011 to 2016","2011","Male","87 years","Population","Number","2645"
"Population 2011 to 2016","2011","Male","87 years","Population at or under this age","Number","2263881"
"Population 2011 to 2016","2011","Male","87 years","Population at or over this age","Number","11463"
"Population 2011 to 2016","2011","Male","88 years","Population","Number","2200"
"Population 2011 to 2016","2011","Male","88 years","Population at or under this age","Number","2266081"
"Population 2011 to 2016","2011","Male","88 years","Population at or over this age","Number","8818"
"Population 2011 to 2016","2011","Male","89 years","Population","Number","1723"
"Population 2011 to 2016","2011","Male","89 years","Population at or under this age","Number","2267804"
"Population 2011 to 2016","2011","Male","89 years","Population at or over this age","Number","6618"
"Population 2011 to 2016","2011","Male","90 years","Population","Number","1405"
"Population 2011 to 2016","2011","Male","90 years","Population at or under this age","Number","2269209"
"Population 2011 to 2016","2011","Male","90 years","Population at or over this age","Number","4895"
"Population 2011 to 2016","2011","Male","91 years","Population","Number","1124"
"Population 2011 to 2016","2011","Male","91 years","Population at or under this age","Number","2270333"
"Population 2011 to 2016","2011","Male","91 years","Population at or over this age","Number","3490"
"Population 2011 to 2016","2011","Male","92 years","Population","Number","763"
"Population 2011 to 2016","2011","Male","92 years","Population at or under this age","Number","2271096"
"Population 2011 to 2016","2011","Male","92 years","Population at or over this age","Number","2366"
"Population 2011 to 2016","2011","Male","93 years","Population","Number","477"
"Population 2011 to 2016","2011","Male","93 years","Population at or under this age","Number","2271573"
"Population 2011 to 2016","2011","Male","93 years","Population at or over this age","Number","1603"
"Population 2011 to 2016","2011","Male","94 years","Population","Number","386"
"Population 2011 to 2016","2011","Male","94 years","Population at or under this age","Number","2271959"
"Population 2011 to 2016","2011","Male","94 years","Population at or over this age","Number","1126"
"Population 2011 to 2016","2011","Male","95 years","Population","Number","272"
"Population 2011 to 2016","2011","Male","95 years","Population at or under this age","Number","2272231"
"Population 2011 to 2016","2011","Male","95 years","Population at or over this age","Number","740"
"Population 2011 to 2016","2011","Male","96 years","Population","Number","178"
"Population 2011 to 2016","2011","Male","96 years","Population at or under this age","Number","2272409"
"Population 2011 to 2016","2011","Male","96 years","Population at or over this age","Number","468"
"Population 2011 to 2016","2011","Male","97 years","Population","Number","119"
"Population 2011 to 2016","2011","Male","97 years","Population at or under this age","Number","2272528"
"Population 2011 to 2016","2011","Male","97 years","Population at or over this age","Number","290"
"Population 2011 to 2016","2011","Male","98 years","Population","Number","64"
"Population 2011 to 2016","2011","Male","98 years","Population at or under this age","Number","2272592"
"Population 2011 to 2016","2011","Male","98 years","Population at or over this age","Number","171"
"Population 2011 to 2016","2011","Male","99 years","Population","Number","49"
"Population 2011 to 2016","2011","Male","99 years","Population at or under this age","Number","2272641"
"Population 2011 to 2016","2011","Male","99 years","Population at or over this age","Number","107"
"Population 2011 to 2016","2011","Male","100 years and over","Population","Number","58"
"Population 2011 to 2016","2011","Male","100 years and over","Population at or under this age","Number","2272699"
"Population 2011 to 2016","2011","Male","100 years and over","Population at or over this age","Number","58"
"Population 2011 to 2016","2011","Female","All ages","Population","Number","2315553"
"Population 2011 to 2016","2011","Female","All ages","Population at or under this age","Number","2315553"
"Population 2011 to 2016","2011","Female","All ages","Population at or over this age","Number","2315553"
"Population 2011 to 2016","2011","Female","Under 1 year","Population","Number","35560"
"Population 2011 to 2016","2011","Female","Under 1 year","Population at or under this age","Number","35560"
"Population 2011 to 2016","2011","Female","Under 1 year","Population at or over this age","Number","2315553"
"Population 2011 to 2016","2011","Female","1 year","Population","Number","35415"
"Population 2011 to 2016","2011","Female","1 year","Population at or under this age","Number","70975"
"Population 2011 to 2016","2011","Female","1 year","Population at or over this age","Number","2279993"
"Population 2011 to 2016","2011","Female","2 years","Population","Number","35413"
"Population 2011 to 2016","2011","Female","2 years","Population at or under this age","Number","106388"
"Population 2011 to 2016","2011","Female","2 years","Population at or over this age","Number","2244578"
"Population 2011 to 2016","2011","Female","3 years","Population","Number","35075"
"Population 2011 to 2016","2011","Female","3 years","Population at or under this age","Number","141463"
"Population 2011 to 2016","2011","Female","3 years","Population at or over this age","Number","2209165"
"Population 2011 to 2016","2011","Female","4 years","Population","Number","32790"
"Population 2011 to 2016","2011","Female","4 years","Population at or under this age","Number","174253"
"Population 2011 to 2016","2011","Female","4 years","Population at or over this age","Number","2174090"
"Population 2011 to 2016","2011","Female","5 years","Population","Number","31738"
"Population 2011 to 2016","2011","Female","5 years","Population at or under this age","Number","205991"
"Population 2011 to 2016","2011","Female","5 years","Population at or over this age","Number","2141300"
"Population 2011 to 2016","2011","Female","6 years","Population","Number","31442"
"Population 2011 to 2016","2011","Female","6 years","Population at or under this age","Number","237433"
"Population 2011 to 2016","2011","Female","6 years","Population at or over this age","Number","2109562"
"Population 2011 to 2016","2011","Female","7 years","Population","Number","31612"
"Population 2011 to 2016","2011","Female","7 years","Population at or under this age","Number","269045"
"Population 2011 to 2016","2011","Female","7 years","Population at or over this age","Number","2078120"
"Population 2011 to 2016","2011","Female","8 years","Population","Number","31238"
"Population 2011 to 2016","2011","Female","8 years","Population at or under this age","Number","300283"
"Population 2011 to 2016","2011","Female","8 years","Population at or over this age","Number","2046508"
"Population 2011 to 2016","2011","Female","9 years","Population","Number","30703"
"Population 2011 to 2016","2011","Female","9 years","Population at or under this age","Number","330986"
"Population 2011 to 2016","2011","Female","9 years","Population at or over this age","Number","2015270"
"Population 2011 to 2016","2011","Female","10 years","Population","Number","29915"
"Population 2011 to 2016","2011","Female","10 years","Population at or under this age","Number","360901"
"Population 2011 to 2016","2011","Female","10 years","Population at or over this age","Number","1984567"
"Population 2011 to 2016","2011","Female","11 years","Population","Number","29720"
"Population 2011 to 2016","2011","Female","11 years","Population at or under this age","Number","390621"
"Population 2011 to 2016","2011","Female","11 years","Population at or over this age","Number","1954652"
"Population 2011 to 2016","2011","Female","12 years","Population","Number","29804"
"Population 2011 to 2016","2011","Female","12 years","Population at or under this age","Number","420425"
"Population 2011 to 2016","2011","Female","12 years","Population at or over this age","Number","1924932"
"Population 2011 to 2016","2011","Female","13 years","Population","Number","29275"
"Population 2011 to 2016","2011","Female","13 years","Population at or under this age","Number","449700"
"Population 2011 to 2016","2011","Female","13 years","Population at or over this age","Number","1895128"
"Population 2011 to 2016","2011","Female","14 years","Population","Number","28701"
"Population 2011 to 2016","2011","Female","14 years","Population at or under this age","Number","478401"
"Population 2011 to 2016","2011","Female","14 years","Population at or over this age","Number","1865853"
"Population 2011 to 2016","2011","Female","15 years","Population","Number","27811"
"Population 2011 to 2016","2011","Female","15 years","Population at or under this age","Number","506212"
"Population 2011 to 2016","2011","Female","15 years","Population at or over this age","Number","1837152"
"Population 2011 to 2016","2011","Female","16 years","Population","Number","27428"
"Population 2011 to 2016","2011","Female","16 years","Population at or under this age","Number","533640"
"Population 2011 to 2016","2011","Female","16 years","Population at or over this age","Number","1809341"
"Population 2011 to 2016","2011","Female","17 years","Population","Number","27265"
"Population 2011 to 2016","2011","Female","17 years","Population at or under this age","Number","560905"
"Population 2011 to 2016","2011","Female","17 years","Population at or over this age","Number","1781913"
"Population 2011 to 2016","2011","Female","18 years","Population","Number","27733"
"Population 2011 to 2016","2011","Female","18 years","Population at or under this age","Number","588638"
"Population 2011 to 2016","2011","Female","18 years","Population at or over this age","Number","1754648"
"Population 2011 to 2016","2011","Female","19 years","Population","Number","28520"
"Population 2011 to 2016","2011","Female","19 years","Population at or under this age","Number","617158"
"Population 2011 to 2016","2011","Female","19 years","Population at or over this age","Number","1726915"
"Population 2011 to 2016","2011","Female","20 years","Population","Number","29754"
"Population 2011 to 2016","2011","Female","20 years","Population at or under this age","Number","646912"
"Population 2011 to 2016","2011","Female","20 years","Population at or over this age","Number","1698395"
"Population 2011 to 2016","2011","Female","21 years","Population","Number","29157"
"Population 2011 to 2016","2011","Female","21 years","Population at or under this age","Number","676069"
"Population 2011 to 2016","2011","Female","21 years","Population at or over this age","Number","1668641"
"Population 2011 to 2016","2011","Female","22 years","Population","Number","29141"
"Population 2011 to 2016","2011","Female","22 years","Population at or under this age","Number","705210"
"Population 2011 to 2016","2011","Female","22 years","Population at or over this age","Number","1639484"
"Population 2011 to 2016","2011","Female","23 years","Population","Number","30482"
"Population 2011 to 2016","2011","Female","23 years","Population at or under this age","Number","735692"
"Population 2011 to 2016","2011","Female","23 years","Population at or over this age","Number","1610343"
"Population 2011 to 2016","2011","Female","24 years","Population","Number","32061"
"Population 2011 to 2016","2011","Female","24 years","Population at or under this age","Number","767753"
"Population 2011 to 2016","2011","Female","24 years","Population at or over this age","Number","1579861"
"Population 2011 to 2016","2011","Female","25 years","Population","Number","33835"
"Population 2011 to 2016","2011","Female","25 years","Population at or under this age","Number","801588"
"Population 2011 to 2016","2011","Female","25 years","Population at or over this age","Number","1547800"
"Population 2011 to 2016","2011","Female","26 years","Population","Number","35242"
"Population 2011 to 2016","2011","Female","26 years","Population at or under this age","Number","836830"
"Population 2011 to 2016","2011","Female","26 years","Population at or over this age","Number","1513965"
"Population 2011 to 2016","2011","Female","27 years","Population","Number","37478"
"Population 2011 to 2016","2011","Female","27 years","Population at or under this age","Number","874308"
"Population 2011 to 2016","2011","Female","27 years","Population at or over this age","Number","1478723"
"Population 2011 to 2016","2011","Female","28 years","Population","Number","39985"
"Population 2011 to 2016","2011","Female","28 years","Population at or under this age","Number","914293"
"Population 2011 to 2016","2011","Female","28 years","Population at or over this age","Number","1441245"
"Population 2011 to 2016","2011","Female","29 years","Population","Number","40868"
"Population 2011 to 2016","2011","Female","29 years","Population at or under this age","Number","955161"
"Population 2011 to 2016","2011","Female","29 years","Population at or over this age","Number","1401260"
"Population 2011 to 2016","2011","Female","30 years","Population","Number","42041"
"Population 2011 to 2016","2011","Female","30 years","Population at or under this age","Number","997202"
"Population 2011 to 2016","2011","Female","30 years","Population at or over this age","Number","1360392"
"Population 2011 to 2016","2011","Female","31 years","Population","Number","41189"
"Population 2011 to 2016","2011","Female","31 years","Population at or under this age","Number","1038391"
"Population 2011 to 2016","2011","Female","31 years","Population at or over this age","Number","1318351"
"Population 2011 to 2016","2011","Female","32 years","Population","Number","40176"
"Population 2011 to 2016","2011","Female","32 years","Population at or under this age","Number","1078567"
"Population 2011 to 2016","2011","Female","32 years","Population at or over this age","Number","1277162"
"Population 2011 to 2016","2011","Female","33 years","Population","Number","38407"
"Population 2011 to 2016","2011","Female","33 years","Population at or under this age","Number","1116974"
"Population 2011 to 2016","2011","Female","33 years","Population at or over this age","Number","1236986"
"Population 2011 to 2016","2011","Female","34 years","Population","Number","37358"
"Population 2011 to 2016","2011","Female","34 years","Population at or under this age","Number","1154332"
"Population 2011 to 2016","2011","Female","34 years","Population at or over this age","Number","1198579"
"Population 2011 to 2016","2011","Female","35 years","Population","Number","37142"
"Population 2011 to 2016","2011","Female","35 years","Population at or under this age","Number","1191474"
"Population 2011 to 2016","2011","Female","35 years","Population at or over this age","Number","1161221"
"Population 2011 to 2016","2011","Female","36 years","Population","Number","36950"
"Population 2011 to 2016","2011","Female","36 years","Population at or under this age","Number","1228424"
"Population 2011 to 2016","2011","Female","36 years","Population at or over this age","Number","1124079"
"Population 2011 to 2016","2011","Female","37 years","Population","Number","36285"
"Population 2011 to 2016","2011","Female","37 years","Population at or under this age","Number","1264709"
"Population 2011 to 2016","2011","Female","37 years","Population at or over this age","Number","1087129"
"Population 2011 to 2016","2011","Female","38 years","Population","Number","36291"
"Population 2011 to 2016","2011","Female","38 years","Population at or under this age","Number","1301000"
"Population 2011 to 2016","2011","Female","38 years","Population at or over this age","Number","1050844"
"Population 2011 to 2016","2011","Female","39 years","Population","Number","35356"
"Population 2011 to 2016","2011","Female","39 years","Population at or under this age","Number","1336356"
"Population 2011 to 2016","2011","Female","39 years","Population at or over this age","Number","1014553"
"Population 2011 to 2016","2011","Female","40 years","Population","Number","34972"
"Population 2011 to 2016","2011","Female","40 years","Population at or under this age","Number","1371328"
"Population 2011 to 2016","2011","Female","40 years","Population at or over this age","Number","979197"
"Population 2011 to 2016","2011","Female","41 years","Population","Number","34058"
"Population 2011 to 2016","2011","Female","41 years","Population at or under this age","Number","1405386"
"Population 2011 to 2016","2011","Female","41 years","Population at or over this age","Number","944225"
"Population 2011 to 2016","2011","Female","42 years","Population","Number","31964"
"Population 2011 to 2016","2011","Female","42 years","Population at or under this age","Number","1437350"
"Population 2011 to 2016","2011","Female","42 years","Population at or over this age","Number","910167"
"Population 2011 to 2016","2011","Female","43 years","Population","Number","31993"
"Population 2011 to 2016","2011","Female","43 years","Population at or under this age","Number","1469343"
"Population 2011 to 2016","2011","Female","43 years","Population at or over this age","Number","878203"
"Population 2011 to 2016","2011","Female","44 years","Population","Number","31495"
"Population 2011 to 2016","2011","Female","44 years","Population at or under this age","Number","1500838"
"Population 2011 to 2016","2011","Female","44 years","Population at or over this age","Number","846210"
"Population 2011 to 2016","2011","Female","45 years","Population","Number","31413"
"Population 2011 to 2016","2011","Female","45 years","Population at or under this age","Number","1532251"
"Population 2011 to 2016","2011","Female","45 years","Population at or over this age","Number","814715"
"Population 2011 to 2016","2011","Female","46 years","Population","Number","31915"
"Population 2011 to 2016","2011","Female","46 years","Population at or under this age","Number","1564166"
"Population 2011 to 2016","2011","Female","46 years","Population at or over this age","Number","783302"
"Population 2011 to 2016","2011","Female","47 years","Population","Number","30986"
"Population 2011 to 2016","2011","Female","47 years","Population at or under this age","Number","1595152"
"Population 2011 to 2016","2011","Female","47 years","Population at or over this age","Number","751387"
"Population 2011 to 2016","2011","Female","48 years","Population","Number","30079"
"Population 2011 to 2016","2011","Female","48 years","Population at or under this age","Number","1625231"
"Population 2011 to 2016","2011","Female","48 years","Population at or over this age","Number","720401"
"Population 2011 to 2016","2011","Female","49 years","Population","Number","29276"
"Population 2011 to 2016","2011","Female","49 years","Population at or under this age","Number","1654507"
"Population 2011 to 2016","2011","Female","49 years","Population at or over this age","Number","690322"
"Population 2011 to 2016","2011","Female","50 years","Population","Number","29274"
"Population 2011 to 2016","2011","Female","50 years","Population at or under this age","Number","1683781"
"Population 2011 to 2016","2011","Female","50 years","Population at or over this age","Number","661046"
"Population 2011 to 2016","2011","Female","51 years","Population","Number","28238"
"Population 2011 to 2016","2011","Female","51 years","Population at or under this age","Number","1712019"
"Population 2011 to 2016","2011","Female","51 years","Population at or over this age","Number","631772"
"Population 2011 to 2016","2011","Female","52 years","Population","Number","27040"
"Population 2011 to 2016","2011","Female","52 years","Population at or under this age","Number","1739059"
"Population 2011 to 2016","2011","Female","52 years","Population at or over this age","Number","603534"
"Population 2011 to 2016","2011","Female","53 years","Population","Number","26957"
"Population 2011 to 2016","2011","Female","53 years","Population at or under this age","Number","1766016"
"Population 2011 to 2016","2011","Female","53 years","Population at or over this age","Number","576494"
"Population 2011 to 2016","2011","Female","54 years","Population","Number","26140"
"Population 2011 to 2016","2011","Female","54 years","Population at or under this age","Number","1792156"
"Population 2011 to 2016","2011","Female","54 years","Population at or over this age","Number","549537"
"Population 2011 to 2016","2011","Female","55 years","Population","Number","25435"
"Population 2011 to 2016","2011","Female","55 years","Population at or under this age","Number","1817591"
"Population 2011 to 2016","2011","Female","55 years","Population at or over this age","Number","523397"
"Population 2011 to 2016","2011","Female","56 years","Population","Number","25381"
"Population 2011 to 2016","2011","Female","56 years","Population at or under this age","Number","1842972"
"Population 2011 to 2016","2011","Female","56 years","Population at or over this age","Number","497962"
"Population 2011 to 2016","2011","Female","57 years","Population","Number","24222"
"Population 2011 to 2016","2011","Female","57 years","Population at or under this age","Number","1867194"
"Population 2011 to 2016","2011","Female","57 years","Population at or over this age","Number","472581"
"Population 2011 to 2016","2011","Female","58 years","Population","Number","24353"
"Population 2011 to 2016","2011","Female","58 years","Population at or under this age","Number","1891547"
"Population 2011 to 2016","2011","Female","58 years","Population at or over this age","Number","448359"
"Population 2011 to 2016","2011","Female","59 years","Population","Number","23010"
"Population 2011 to 2016","2011","Female","59 years","Population at or under this age","Number","1914557"
"Population 2011 to 2016","2011","Female","59 years","Population at or over this age","Number","424006"
"Population 2011 to 2016","2011","Female","60 years","Population","Number","22459"
"Population 2011 to 2016","2011","Female","60 years","Population at or under this age","Number","1937016"
"Population 2011 to 2016","2011","Female","60 years","Population at or over this age","Number","400996"
"Population 2011 to 2016","2011","Female","61 years","Population","Number","22566"
"Population 2011 to 2016","2011","Female","61 years","Population at or under this age","Number","1959582"
"Population 2011 to 2016","2011","Female","61 years","Population at or over this age","Number","378537"
"Population 2011 to 2016","2011","Female","62 years","Population","Number","21973"
"Population 2011 to 2016","2011","Female","62 years","Population at or under this age","Number","1981555"
"Population 2011 to 2016","2011","Female","62 years","Population at or over this age","Number","355971"
"Population 2011 to 2016","2011","Female","63 years","Population","Number","21445"
"Population 2011 to 2016","2011","Female","63 years","Population at or under this age","Number","2003000"
"Population 2011 to 2016","2011","Female","63 years","Population at or over this age","Number","333998"
"Population 2011 to 2016","2011","Female","64 years","Population","Number","20474"
"Population 2011 to 2016","2011","Female","64 years","Population at or under this age","Number","2023474"
"Population 2011 to 2016","2011","Female","64 years","Population at or over this age","Number","312553"
"Population 2011 to 2016","2011","Female","65 years","Population","Number","19867"
"Population 2011 to 2016","2011","Female","65 years","Population at or under this age","Number","2043341"
"Population 2011 to 2016","2011","Female","65 years","Population at or over this age","Number","292079"
"Population 2011 to 2016","2011","Female","66 years","Population","Number","18373"
"Population 2011 to 2016","2011","Female","66 years","Population at or under this age","Number","2061714"
"Population 2011 to 2016","2011","Female","66 years","Population at or over this age","Number","272212"
"Population 2011 to 2016","2011","Female","67 years","Population","Number","17436"
"Population 2011 to 2016","2011","Female","67 years","Population at or under this age","Number","2079150"
"Population 2011 to 2016","2011","Female","67 years","Population at or over this age","Number","253839"
"Population 2011 to 2016","2011","Female","68 years","Population","Number","16658"
"Population 2011 to 2016","2011","Female","68 years","Population at or under this age","Number","2095808"
"Population 2011 to 2016","2011","Female","68 years","Population at or over this age","Number","236403"
"Population 2011 to 2016","2011","Female","69 years","Population","Number","15006"
"Population 2011 to 2016","2011","Female","69 years","Population at or under this age","Number","2110814"
"Population 2011 to 2016","2011","Female","69 years","Population at or over this age","Number","219745"
"Population 2011 to 2016","2011","Female","70 years","Population","Number","14323"
"Population 2011 to 2016","2011","Female","70 years","Population at or under this age","Number","2125137"
"Population 2011 to 2016","2011","Female","70 years","Population at or over this age","Number","204739"
"Population 2011 to 2016","2011","Female","71 years","Population","Number","14261"
"Population 2011 to 2016","2011","Female","71 years","Population at or under this age","Number","2139398"
"Population 2011 to 2016","2011","Female","71 years","Population at or over this age","Number","190416"
"Population 2011 to 2016","2011","Female","72 years","Population","Number","13683"
"Population 2011 to 2016","2011","Female","72 years","Population at or under this age","Number","2153081"
"Population 2011 to 2016","2011","Female","72 years","Population at or over this age","Number","176155"
"Population 2011 to 2016","2011","Female","73 years","Population","Number","12876"
"Population 2011 to 2016","2011","Female","73 years","Population at or under this age","Number","2165957"
"Population 2011 to 2016","2011","Female","73 years","Population at or over this age","Number","162472"
"Population 2011 to 2016","2011","Female","74 years","Population","Number","12571"
"Population 2011 to 2016","2011","Female","74 years","Population at or under this age","Number","2178528"
"Population 2011 to 2016","2011","Female","74 years","Population at or over this age","Number","149596"
"Population 2011 to 2016","2011","Female","75 years","Population","Number","12325"
"Population 2011 to 2016","2011","Female","75 years","Population at or under this age","Number","2190853"
